//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//Sort   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   MapNumber   DropMinLevel   DropMaxLevel   ItemDropRate   RequireIndex   RequireState   DW   DK   FE   MG   DL
//------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0        2      0       1000000    0       0         0         0         0           *           *              *              *              0              0              1    1    1    0    0
0        2      0       1000000    0       0         0         0         0           *           *              *              *              0              3              1    1    1    0    0
0        1      471     1          0       0         0         0         0           *           45             60             1000           0              1              1    1    1    0    0
0        2      0       2000000    0       0         0         0         0           *           *              *              *              1              0              1    1    1    0    0
0        2      0       2000000    0       0         0         0         0           *           *              *              *              1              3              1    1    1    0    0
0        1      472     1          0       0         0         0         0           *           62             76             1000           1              1              0    1    0    0    0
0        1      473     1          0       0         0         0         0           *           62             76             1000           1              1              0    0    1    0    0
0        1      474     1          0       0         0         0         0           *           62             76             1000           1              1              1    0    0    0    0
0        2      0       3000000    0       0         0         0         0           *           *              *              *              2              0              2    2    2    0    0
0        2      0       3000000    0       0         0         0         0           *           *              *              *              2              3              2    2    2    0    0
0        1      471     1          1       0         0         0         0           *           72             108            1000           2              1              2    2    2    0    0
0        2      0       2000000    0       0         0         0         0           *           *              *              *              3              0              0    2    0    0    0
0        2      0       2000000    0       0         0         0         0           *           *              *              *              3              3              0    2    0    0    0
0        1      472     1          1       0         0         0         0           *           72             108            1000           3              1              0    2    0    0    0
end
