// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   07,005      0           0            0             1            1           0           0           //Leather Helm
   08,005      0           0            0             1            1           0           0           //Leather Armor
   09,005      0           0            0             1            1           0           0           //Leather Pants
   10,005      0           0            0             1            1           0           0           //Leather Gloves
   11,005      0           0            0             1            1           0           0           //Leather Boots
   07,000      2           0            0             1            1           0           0           //Bronze Helm
   08,000      2           0            0             1            1           0           0           //Bronze Armor
   09,000      2           0            0             1            1           0           0           //Bronze Pants
   10,000      2           0            0             1            1           0           0           //Bronze Gloves
   11,000      2           0            0             1            1           0           0           //Bronze Boots
   07,006      3           0            0             1            1           0           0           //Scale Helm
   08,006      3           0            0             1            1           0           0           //Scale Armor
   09,006      3           0            0             1            1           0           0           //Scale Pants
   10,006      3           0            0             1            1           0           0           //Scale Gloves
   11,006      3           0            0             1            1           0           0           //Scale Boots
   02,008      3           0            0             1            1           0           0           //Battle Scepter
   12,021      0           1            0             0            0           0           0           //Scroll of FireBurst
   07,025      3           0            0             1            1           0           0           //Light Plate Mask
   08,025      3           0            0             1            1           0           0           //Light Plate Armor
   09,025      3           0            0             1            1           0           0           //Light Plate Pants
   10,025      3           0            0             1            1           0           0           //Light Plate Gloves
   11,025      3           0            0             1            1           0           0           //Light Plate Mask
end
