// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   06,000      0           0            1             1            1           0           0           //Small Shield
   06,004      1           0            1             1            1           0           0           //Buckler
   06,001      2           0            1             1            1           0           0           //Horn Shield
   06,002      3           0            1             1            1           0           0           //Kite Shield
   06,006      3           0            1             1            1           0           0           //Skull Shield
   06,010      3           0            1             1            1           0           0           //Large Round Shield
   06,009      3           0            1             1            1           0           0           //Plate Shield
   06,007      3           0            1             1            1           0           0           //Spiked Shield
   06,005      3           0            1             1            1           0           0           //Dragon Slayer Shield
   06,008      3           0            1             1            1           0           0           //Tower Shield
   06,011      3           0            1             1            1           0           0           //Serpent Shield
   06,012      3           0            1             1            1           0           0           //Bronze Shield
   01,002      2           0            1             1            1           0           0           //Double Axe
   00,004      3           0            1             1            1           0           0           //Sword of Assassin
   02,001      3           0            1             1            1           0           0           //Morning Star
   01,003      3           0            1             1            1           0           0           //Tomahawk
   00,006      3           0            1             1            1           0           0           //Gladius
   00,007      3           0            1             1            1           0           0           //Falchion
   00,008      3           0            1             1            1           0           0           //Serpent Sword
   00,005      3           0            1             1            1           0           0           //Blade
   12,013      0           1            0             0            0           0           0           //Orb of Impale
   12,007      0           1            0             0            0           0           0           //Orb of Twisting Slash
   07,008      3           0            0             1            1           0           0           //Brass Helm
   08,008      3           0            0             1            1           0           0           //Brass Armor
   09,008      3           0            0             1            1           0           0           //Brass Pants
   10,008      3           0            0             1            1           0           0           //Brass Gloves
   11,008      3           0            0             1            1           0           0           //Brass Boots
end
