// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   14,000      0           1            0             0            0           0           0           //Apple
   14,001      0           1            0             0            0           0           0           //Small Healing Potion
   14,002      0           1            0             0            0           0           0           //Healing Potion
   14,003      0           1            0             0            0           0           0           //Large Healing Potion
   14,004      0           1            0             0            0           0           0           //Small Mana Potion
   14,005      0           1            0             0            0           0           0           //Mana Potion
   14,006      0           1            0             0            0           0           0           //Large Mana Potion
   14,008      0           1            0             0            0           0           0           //Antidote
   14,000      0           3            0             0            0           0           0           //Apple
   14,001      0           3            0             0            0           0           0           //Small Healing Potion
   14,002      0           3            0             0            0           0           0           //Healing Potion
   14,003      0           255          0             0            0           0           0           //Large Healing Potion
   14,004      0           3            0             0            0           0           0           //Small Mana Potion
   14,005      0           3            0             0            0           0           0           //Mana Potion
   14,006      0           255          0             0            0           0           0           //Large Mana Potion
   14,008      0           3            0             0            0           0           0           //Antidote
   14,000      1           1            0             0            0           0           0           //Apple
   14,001      1           1            0             0            0           0           0           //Small Healing Potion
   14,002      1           1            0             0            0           0           0           //Healing Potion
   14,003      1           1            0             0            0           0           0           //Large Healing Potion
   14,000      1           3            0             0            0           0           0           //Apple
   14,001      1           3            0             0            0           0           0           //Small Healing Potion
   14,002      1           3            0             0            0           0           0           //Healing Potion
   14,003      1           255          0             0            0           0           0           //Large Healing Potion
   14,009      0           1            0             0            0           0           0           //Ale
   14,010      0           1            0             0            0           0           0           //Town Portal Scroll
   13,029      0           1            0             0            0           0           0           //Armor of Guardsman
end
